n = 26
0	141244	1003577	201574	3045	526703	661874	106	858125	2152	374248	402012	9360	260221	3142	106775	375	876	28559	25344	0	9185	0	0	11750	319
141244	0	193110	51529	96	84701	8583	1237	62545	15518	17574	6233	2718	17431	230	136673	0	1494	1498	14341	1423	11213	0	6	83	197
1003577	193110	0	10691	100243	54020	1179732	1066967	303660	17344	1557734	1350313	26057	557787	62763	413018	307541	701604	1072302	250660	9962	189389	37822	9396	69692	10693
201574	51529	10691	0	137119	7970	890993	99846	472764	21953	252366	423441	29730	416831	54655	387238	87791	280442	211182	298024	5665	54594	38308	5472	2449	3782
3045	96	100243	137119	0	102565	29222	307	121541	79	10523	58489	147	24469	82	323	0	1247	16936	83	68	678	0	0	29	0
526703	84701	54020	7970	102565	0	639999	171836	433630	23613	272633	578324	44593	284900	97468	211804	173344	252739	653913	348278	11311	133149	27946	8078	5218	7264
661874	8583	1179732	890993	29222	639999	0	197251	520204	3563	334894	50570	8622	298523	1031	166718	20075	3410	3851	496	5766	103530	2625	15363	134	1836
106	1237	1066967	99846	307	171836	197251	0	192131	398	19562	100333	2849	185053	712	703	1312	3840	12914	356	21	3791	1028	12	0	106
858125	62545	303660	472764	121541	433630	520204	192131	0	15809	576714	430944	952	171113	72139	248162	175999	214420	445245	49021	10484	96869	452	116053	33588	4465
2152	15518	17344	21953	79	23613	3563	398	15809	0	2263	1980	314	22	128	0	0	0	934	94	47	0	0	0	5	0
374248	17574	1557734	252366	10523	272633	334894	19562	576714	2263	0	156130	49331	302299	7263	30542	0	19401	47675	55691	3069	2194	723	18981	0	0
402012	6233	1350313	423441	58489	578324	50570	100333	430944	1980	156130	0	9373	428765	50236	109705	51125	64815	10718	219805	5420	91085	9	6401	738	640
9360	2718	26057	29730	147	44593	8622	2849	952	314	49331	9373	0	1089	6004	2244	430	7729	15206	4374	595	1330	0	0	6	47
260221	17431	557787	416831	24469	284900	298523	185053	171113	22	302299	428765	1089	0	47759	92803	91609	49820	182237	95832	1750	46699	36383	423310	102608	1549
3142	230	62763	54655	82	97468	1031	712	72139	128	7263	50236	6004	47759	0	369	722	43906	83173	6	0	84	4278	0	0	193
106775	136673	413018	387238	323	211804	166718	703	248162	0	30542	109705	2244	92803	369	0	0	102	38693	581	4419	98	0	2836	5580	0
375	0	307541	87791	0	173344	20075	1312	175999	0	0	51125	430	91609	722	0	0	0	1336	0	0	0	70	0	96	6
876	1494	701604	280442	1247	252739	3410	3840	214420	0	19401	64815	7729	49820	43906	102	0	0	5654	78859	141	3272	0	0	0	0
28559	1498	1072302	211182	16936	653913	3851	12914	445245	934	47675	10718	15206	182237	83173	38693	1336	5654	0	122063	1762	19181	0	8367	0	41
25344	14341	250660	298024	83	348278	496	356	49021	94	55691	219805	4374	95832	6	581	0	78859	122063	0	133	11	0	0	17277	0
0	1423	9962	5665	68	11311	5766	21	10484	47	3069	5420	595	1750	0	4419	0	141	1762	133	0	592	0	124	0	0
9185	11213	189389	54594	678	133149	103530	3791	96869	0	2194	91085	1330	46699	84	98	0	3272	19181	11	592	0	0	0	0	0
0	0	37822	38308	0	27946	2625	1028	452	0	723	9	0	36383	4278	0	70	0	0	0	0	0	0	0	0	0
0	6	9396	5472	0	8078	15363	12	116053	0	18981	6401	0	423310	0	2836	0	0	8367	0	124	0	0	0	888	0
11750	83	69692	2449	29	5218	134	0	33588	5	0	738	6	102608	0	5580	96	0	0	17277	0	0	0	888	0	0
319	197	10693	3782	0	7264	1836	106	4465	0	0	640	47	1549	193	0	6	0	41	0	0	0	0	0	0	0


