n = 49
0	204	323	408	473	527	572	204	295	380	449	506	554	595	295	323	380	440	494	541	583	380	408	449	494	537	576	612	440	449	473	506	541	576	609	494	506	527	554	583	612	640	537	541	554	572	595	619	644
204	0	204	323	408	473	527	204	204	295	380	449	506	554	323	295	323	380	440	494	541	380	380	408	449	494	537	576	449	440	449	473	506	541	576	494	494	506	527	554	583	612	541	537	541	554	572	595	619
323	204	0	204	323	408	473	295	204	204	295	380	449	506	380	323	295	323	380	440	494	408	380	380	408	449	494	537	473	449	440	449	473	506	541	506	494	494	506	527	554	583	554	541	537	541	554	572	595
408	323	204	0	204	323	408	380	295	204	204	295	380	449	440	380	323	295	323	380	440	449	408	380	380	408	449	494	506	473	449	440	449	473	506	527	506	494	494	506	527	554	572	554	541	537	541	554	572
473	408	323	204	0	204	323	449	380	295	204	204	295	380	494	440	380	323	295	323	380	494	449	408	380	380	408	449	541	506	473	449	440	449	473	554	527	506	494	494	506	527	595	572	554	541	537	541	554
527	473	408	323	204	0	204	506	449	380	295	204	204	295	541	494	440	380	323	295	323	537	494	449	408	380	380	408	576	541	506	473	449	440	449	583	554	527	506	494	494	506	619	595	572	554	541	537	541
572	527	473	408	323	204	0	554	506	449	380	295	204	204	583	541	494	440	380	323	295	576	537	494	449	408	380	380	609	576	541	506	473	449	440	612	583	554	527	506	494	494	644	619	595	572	554	541	537
204	204	295	380	449	506	554	0	204	323	408	473	527	572	204	204	295	380	449	506	554	295	323	380	440	494	541	583	380	380	408	449	494	537	576	440	449	473	506	541	576	609	494	494	506	527	554	583	612
295	204	204	295	380	449	506	204	0	204	323	408	473	527	295	204	204	295	380	449	506	323	295	323	380	440	494	541	408	380	380	408	449	494	537	449	440	449	473	506	541	576	506	494	494	506	527	554	583
380	295	204	204	295	380	449	323	204	0	204	323	408	473	380	295	204	204	295	380	449	380	323	295	323	380	440	494	449	408	380	380	408	449	494	473	449	440	449	473	506	541	527	506	494	494	506	527	554
449	380	295	204	204	295	380	408	323	204	0	204	323	408	449	380	295	204	204	295	380	440	380	323	295	323	380	440	494	449	408	380	380	408	449	506	473	449	440	449	473	506	554	527	506	494	494	506	527
506	449	380	295	204	204	295	473	408	323	204	0	204	323	506	449	380	295	204	204	295	494	440	380	323	295	323	380	537	494	449	408	380	380	408	541	506	473	449	440	449	473	583	554	527	506	494	494	506
554	506	449	380	295	204	204	527	473	408	323	204	0	204	554	506	449	380	295	204	204	541	494	440	380	323	295	323	576	537	494	449	408	380	380	576	541	506	473	449	440	449	612	583	554	527	506	494	494
595	554	506	449	380	295	204	572	527	473	408	323	204	0	595	554	506	449	380	295	204	583	541	494	440	380	323	295	612	576	537	494	449	408	380	609	576	541	506	473	449	440	640	612	583	554	527	506	494
295	323	380	440	494	541	583	204	295	380	449	506	554	595	0	204	323	408	473	527	572	204	295	380	449	506	554	595	295	323	380	440	494	541	583	380	408	449	494	537	576	612	440	449	473	506	541	576	609
