n = 49
0.000	0.204	0.323	0.408	0.473	0.527	0.572	0.204	0.295	0.380	0.449	0.506	0.554	0.595	0.295	0.323	0.380	0.440	0.494	0.541	0.583	0.380	0.408	0.449	0.494	0.537	0.576	0.612	0.440	0.449	0.473	0.506	0.541	0.576	0.609	0.494	0.506	0.527	0.554	0.583	0.612	0.640	0.537	0.541	0.554	0.572	0.595	0.619	0.644
0.204	0.000	0.204	0.323	0.408	0.473	0.527	0.204	0.204	0.295	0.380	0.449	0.506	0.554	0.323	0.295	0.323	0.380	0.440	0.494	0.541	0.380	0.380	0.408	0.449	0.494	0.537	0.576	0.449	0.440	0.449	0.473	0.506	0.541	0.576	0.494	0.494	0.506	0.527	0.554	0.583	0.612	0.541	0.537	0.541	0.554	0.572	0.595	0.619
0.323	0.204	0.000	0.204	0.323	0.408	0.473	0.295	0.204	0.204	0.295	0.380	0.449	0.506	0.380	0.323	0.295	0.323	0.380	0.440	0.494	0.408	0.380	0.380	0.408	0.449	0.494	0.537	0.473	0.449	0.440	0.449	0.473	0.506	0.541	0.506	0.494	0.494	0.506	0.527	0.554	0.583	0.554	0.541	0.537	0.541	0.554	0.572	0.595
0.408	0.323	0.204	0.000	0.204	0.323	0.408	0.380	0.295	0.204	0.204	0.295	0.380	0.449	0.440	0.380	0.323	0.295	0.323	0.380	0.440	0.449	0.408	0.380	0.380	0.408	0.449	0.494	0.506	0.473	0.449	0.440	0.449	0.473	0.506	0.527	0.506	0.494	0.494	0.506	0.527	0.554	0.572	0.554	0.541	0.537	0.541	0.554	0.572
0.473	0.408	0.323	0.204	0.000	0.204	0.323	0.449	0.380	0.295	0.204	0.204	0.295	0.380	0.494	0.440	0.380	0.323	0.295	0.323	0.380	0.494	0.449	0.408	0.380	0.380	0.408	0.449	0.541	0.506	0.473	0.449	0.440	0.449	0.473	0.554	0.527	0.506	0.494	0.494	0.506	0.527	0.595	0.572	0.554	0.541	0.537	0.541	0.554
0.527	0.473	0.408	0.323	0.204	0.000	0.204	0.506	0.449	0.380	0.295	0.204	0.204	0.295	0.541	0.494	0.440	0.380	0.323	0.295	0.323	0.537	0.494	0.449	0.408	0.380	0.380	0.408	0.576	0.541	0.506	0.473	0.449	0.440	0.449	0.583	0.554	0.527	0.506	0.494	0.494	0.506	0.619	0.595	0.572	0.554	0.541	0.537	0.541
0.572	0.527	0.473	0.408	0.323	0.204	0.000	0.554	0.506	0.449	0.380	0.295	0.204	0.204	0.583	0.541	0.494	0.440	0.380	0.323	0.295	0.576	0.537	0.494	0.449	0.408	0.380	0.380	0.609	0.576	0.541	0.506	0.473	0.449	0.440	0.612	0.583	0.554	0.527	0.506	0.494	0.494	0.644	0.619	0.595	0.572	0.554	0.541	0.537
0.204	0.204	0.295	0.380	0.449	0.506	0.554	0.000	0.204	0.323	0.408	0.473	0.527	0.572	0.204	0.204	0.295	0.380	0.449	0.506	0.554	0.295	0.323	0.380	0.440	0.494	0.541	0.583	0.380	0.380	0.408	0.449	0.494	0.537	0.576	0.440	0.449	0.473	0.506	0.541	0.576	0.609	0.494	0.494	0.506	0.527	0.554	0.583	0.612
0.295	0.204	0.204	0.295	0.380	0.449	0.506	0.204	0.000	0.204	0.323	0.408	0.473	0.527	0.295	0.204	0.204	0.295	0.380	0.449	0.506	0.323	0.295	0.323	0.380	0.440	0.494	0.541	0.408	0.380	0.380	0.408	0.449	0.494	0.537	0.449	0.440	0.449	0.473	0.506	0.541	0.576	0.506	0.494	0.494	0.506	0.527	0.554	0.583
0.380	0.295	0.204	0.204	0.295	0.380	0.449	0.323	0.204	0.000	0.204	0.323	0.408	0.473	0.380	0.295	0.204	0.204	0.295	0.380	0.449	0.380	0.323	0.295	0.323	0.380	0.440	0.494	0.449	0.408	0.380	0.380	0.408	0.449	0.494	0.473	0.449	0.440	0.449	0.473	0.506	0.541	0.527	0.506	0.494	0.494	0.506	0.527	0.554
